식품명	식품대분류	1회제공량	내용량_단위	에너지(㎉)	단백질(g)	지방(g)	탄수화물(g)	총당류(g)	나트륨(㎎)	콜레스테롤(g)	콜레스테롤(㎎)	총 포화 지방산(g)	트랜스 지방산(g)
딸기맛 우유, 3.4 	가공유	200	g	312	11.2	10.8	42.8	37.98	176	0	0	0	0
3.4쵸코우유	가공유	200	g	248	9.6	5.2	41.2	40.93	156	0	0	0	0
3.4커피우유	가공유	200	g	256	10	7.2	38	33.66	148	0	0	0	0
딸기맛우유	가공유	200	g	296	11.2	10.8	39.2	40	176	0	0	0	0
바나나맛 우유	가공유	200	g	312	11.2	10.8	43.2	32	176	0	0	0	0
더 진한 초코 우유	가공유	200	mL	360	11	15	45	41	295	0	35	10	0.5
네스퀵초콜릿맛드링크	가공유	200	mL	150	4.3	5	22	20	130	0	20	3.3	0.2
덴마크 초코초코 우유	가공유	200	mL	220	5	6	36	31	140	0	20	4.7	0.2
덴마크 딸기딸기 우유	가공유	200	mL	150	5	3.1	25	23	100	0	15	2	0
더 진한 딸기 우유	가공유	200	mL	395	9	15	56	55	215	0	35	11	0.5
더 진한 바나나 우유	가공유	200	mL	450	10	16	66	63	260	0	65	11	0.5
소와 나무 우유	가공유	200	mL	140	6	8	11	10	110	0	15	6	0.2
덴마크 모닝시리얼 우유	가공유	200	mL	120	6	4.2	14	11	90	0	15	2.4	0
소와나무 딸기우유	가공유	200	mL	125	5	3.4	18	17	120	0	15	2.4	0
덴마크 민트초코우유	가공유	200	mL	150	4	3.5	26	23	95	0	15	3	0
소와나무 쵸코렛 우유	가공유	200	mL	120	5	1.8	21	19	140	0	5	1.3	0
덴마크 바나바나 우유	가공유	200	mL	150	4	4.6	23	21	120	0	15	3	0
덴마크 바나나 우유	가공유	200	mL	135	4	4.1	21	19	110	0	15	2.7	0
건강한 딸기딸기 우유	가공유	200	mL	160	4	4.6	26	25	140	0	15	3.4	0
소화가 잘 되는 유산균우유	가공유	200	mL	135	6	8	10	10	100	0	25	5	0
내추럴플랜 딸기 우유	가공유	200	mL	155	6	5	25	20	230	0	20	3.1	0
내추럴플랜 바나나 우유	가공유	200	mL	180	6	7	24	18	95	0	20	3.9	0.5
내추럴플랜 초코 우유	가공유	200	mL	180	6	6	26	17	85	0	20	3.6	0
바나나라떼	가공유	200	g	180	6	7	24	18	95	0	20	3.9	0.5
딸기라떼	가공유	200	mL	155	6	5	25	20	230	0	20	3.1	0
초코라떼	가공유	200	mL	180	6	6	26	17	85	0	20	3.6	0
딸기우유(군납)	가공유	200	mL	165	5	6	23	21	65	0	20	3.8	0
대관령 저지방 밸런스	가공유	200	g	160	12	4	20	18.87	220	0	12	2.8	0
바나나홀릭	가공유	200	g	260	8	10	36	40.44	200	0	28	6.8	0
삼양 저지방우유	가공유	200	g	160	12	4	20	18.44	220	0	12	2.8	0
아침&딸기우유	가공유	200	g	260	8	7.2	40	37.98	180	0	20	4.8	0
아침&바나나우유	가공유	200	g	260	8	10	36	40.44	200	0	28	6.8	0
아침&저지방우유	가공유	200	g	160	12	4	20	18.44	220	0	12	2.8	0
아침&초코우유	가공유	200	g	220	8	2	44	40.93	220	0	12	1.6	0
아침&커피우유	가공유	200	g	220	4	8	32	33.66	140	0	28	5.2	0
에코그린캠퍼스 하이바나나	가공유	200	g	260	8	10	36	40.44	200	0	28	6.8	0
에코그린캠퍼스 하이베리	가공유	200	g	260	8	7.2	40	37.98	180	0	20	4.8	0
에코그린캠퍼스 하이초코	가공유	200	g	220	8	2	44	40.93	220	0	12	1.6	0
아침＆저지방 우유	가공유	200	g	80	5	2	11	10	110	0	10	1.5	0
아침&초코우유	가공유	200	g	130	4	1	22	22	110	0	6	0.8	0
아침&딸기우유	가공유	200	g	135	5	3.8	20	20	95	0	10	2.5	0
아침&바나나우유	가공유	200	g	145	5	5	19	19	100	0	14	3.5	0
가나초코	가공유	200	g	105	4.1	3	15	13	80	0	5	2.7	0
검은콩	가공유	200	g	105	3.7	4	14	13	90	0	15	2.4	0
딸기	가공유	200	g	110	3.8	3.5	16	15	110	0	10	2.4	0
딸기크림치즈라떼	가공유	200	mL	560	16	18.8	84	37.98	280	0	20	14	0
생 바나나	가공유	200	g	600	18.4	16.8	92	40.44	400	0	60	13.6	0
생 블루베리	가공유	200	g	520	16.8	9.2	92	92	340	0	20	8.8	0
카페모카	가공유	200	mL	440	15.2	9.2	72	205.25	360	0	40	7.6	0
컵 커피 마끼야또	가공유	200	mL	130	3.9	3.2	21	19	95	0	10	2.6	0
컵 커피 카페라떼	가공유	200	mL	125	3.9	3.3	20	18	95	0	10	2.6	0
컵 커피 카페모카	가공유	200	mL	130	4	3.1	21	20	95	0	10	2.6	0
허니 렌틸콩	가공유	200	g	560	23.6	20.8	72	64	360	0	60	14.8	0
푸르밀 가나쵸코우유	가공유	200	g	105	4.1	3	15	13	80	0	5	2.7	0
HEYROO 딸기 우유	가공유	200	g	315	9.3	12.3	42	40	275	0	35	8.8	0
카페베네 딸기크림치즈라떼	가공유	200	mL	140	4	4.7	21	21	70	0	5	3.5	0
HEYROO 바나나 우유	가공유	200	g	315	9.4	14.6	36	34	250	0	35	11.2	0
진하고 맛있는 특농우유	가공유	200	mL	155	7.3	6.6	11	11	115	0	31	5.5	0
딸기과즙이들어있는우유	가공유	200	g	110	3.8	3.5	16	15	110	0	10	2.4	0
뚜레쥬르가 만든 신선한  딸기우유	가공유	200	g	110	3.8	3.5	16	15	110	0	10	2.4	0
뚜레쥬르가 만든 신선한 초코우유	가공유	200	g	105	4.1	3	15	13	80	0	5	2.7	0
내추럴플랜 클래식 저지방(200ml)	가공유	200	mL	95	6	3.6	10	10	110	0	15	2.4	0
미니카페 모카라떼 커피	가공유	200	g	95.56	2.67	2.89	14.67	14.67	66.67	0	12.44	2	0
미니카페 스트로베리 라떼	가공유	200	g	91.11	3.11	2.44	13.78	37.98	66.67	0	11.11	1.78	0
밀크홀릭 딸기	가공유	200	g	135	4	3.5	22	329.41	90	0	10	3.5	0
밀크홀릭 초코	가공유	200	g	150	4	4	24	329.41	95	0	15	2.5	0
밀크홀릭 커피	가공유	200	g	120	4	3.5	18	33.66	110	0	5	3.5	0
빙그레 메론맛우유	가공유	200	g	325	10	11.67	45	45	183.33	0	50	7.5	0
빙그레 바나나맛우유 & 토피넛	가공유	200	g	128.47	4.17	4.86	17.36	43.33	76.39	0	17.36	3.12	0
아카페라 ExtraShot 다크 바닐라라떼 커피	가공유	200	g	125	3.5	4	19	17	70	0	15	2.5	0
아카페라 ExtraShot 다크 카페라떼 커피	가공유	200	g	120	3.5	4	18	16	70	0	15	2.5	0
참맛 딸기	가공유	200	g	273.68	8.42	7.37	44.21	40	273.68	0	10.53	7.37	0
참맛 초코	가공유	200	g	300	8	9	46	44	200	0	20	6	0
참맛 커피	가공유	200	g	240	7	8	36	28	200	0	20	5	0
밀큐 딸기맛 우유	가공유	200	g	276	8.4	6.8	47.2	43.33	140	0	0	0	0
밀큐 초코렛 우유	가공유	200	g	264	6	6.8	49.6	40.93	104	0	0	0	0
밀크커피 우유	가공유	200	g	212	7.2	4	38.8	33.66	112	0	0	0	0
바나나맛 우유	가공유	200	g	328	10	11.2	48.4	43.33	172	0	0	0	0
생큐 딸기우유	가공유	200	g	284	8.4	6.8	48.8	42	140	0	0	0	0
생큐 커피우유	가공유	200	g	256	8.8	8	38.4	0	144	0	0	0	0
딸기타임	가공유	200	mL	115	3.2	2	21	18	75	0	7	2	0
초코타임	가공유	200	mL	153	3.2	4	26	19	110	0	5	4	0
메론맛 우유(수출용)	가공유	200	g	160	5.2	5.5	22	21	85	0	20	2.7	0
덴마크 산양우유	가공유	200	mL	135	0	0	0	9	125	35	0	5	0.2
덴마크 초코초코 우유	가공유	200	mL	222	0	0	0	37	130	20	0	4.4	0.2
덴마크 딸기딸기 우유	가공유	200	mL	150	0	0	0	23	100	15	0	2	0
맛단지 바나나우유	가공유	220	g	195	6	7.3	26	23	90	0	20	5	0
맛단지 딸기우유	가공유	220	g	195	6	7.3	26	23	90	0	20	5	0
건강한 귀리우유	가공유	220	g	160	4	7	20	20	140	0	15	4.9	0
건강한 딸기딸기 우유	가공유	220	g	160	4	4.6	26	25	140	0	15	3.4	0
건강한 사탕수수 우유	가공유	220	g	180	4	8	23	20	120	0	20	6	0
데미생 홍삼우유*220ml	가공유	220	mL	150	8	8	11	5	90	0	0	4.6	0
바나나우유	가공유	225	g	150	4.6	4.2	23	21	100	0	15	3.4	0
바나나우유	가공유	225	g	125	4.6	4.2	17	16	90	0	15	3.4	0
블루베리우유	가공유	225	g	135	4.7	2.3	23	23	85	0	5	2.1	0
오트밀크	가공유	225	g	200	8.5	7	26	11	70	0	27	4.4	0.2
바나나우유	가공유	225	g	125	4.6	4.2	17	16	90	0	15	3.4	0
바나나우유	가공유	225	g	125	4.6	4.2	17	16	90	0	15	3.4	0
블루베리우유	가공유	225	g	135	4.7	2.3	23	23	85	0	5	2.1	0
오트밀크	가공유	225	mL	200	0	0	0	11	90	27	0	4.4	0.3
메로나 보틀	가공유	230	g	209	8	4.5	34	30	130	0	15	3	0
메로나 보틀 딸기	가공유	230	g	217	8	4.5	36	30	120	0	11	3.5	0
메로나 보틀	가공유	230	mL	209	0	0	0	30	130	15	0	3	0
초코레떼	가공유	235	mL	155	4	4	26	22	135	0	6	4	0
바나나는 원래 하얗다	가공유	235	mL	150	0	0	0	24	95	15	0	2.7	0
허쉬초콜릿드링크 오리지널	가공유	235	mL	160	0	0	0	27	110	5	0	2	0
빙그레 오디맛 우유	가공유	240	g	187	6	7	25	25	103	0	23	4.5	0
빙그레 바나나맛 우유	가공유	240	g	208	7	8	27	27	110	0	30	5	0
빙그레 딸기맛 우유	가공유	240	g	195	6	7	27	27	110	0	30	4.5	0
빙그레 바나나맛 우유 Liht	가공유	240	g	142	6.5	3.6	21	21	110	0	20	5	0
딸기맛 우유(수출용H)	가공유	240	g	195	6	7	27	27	110	0	30	4.5	0
빙그레 오디맛 우유	가공유	240	g	187	6	7	25	25	113	0	23	4.5	0
빙그레 오디맛 우유	가공유	240	g	187	6	7	25	25	103	0	23	4.5	0
빙그레 바나나맛 우유	가공유	240	mL	208	7	8	27	27	110	0	30	5	0
빙그레 딸기맛 우유	가공유	240	mL	195	6	7	27	27	110	0	30	4.5	0
빙그레 바나나맛 우유 Light	가공유	240	mL	142	6.5	3.6	21	21	110	0	20	2.5	0
딸기맛 우유(수출용H)	가공유	240	mL	195	6	7	27	27	110	0	30	4.5	0
빙그레 오디맛 우유	가공유	240	g	187	6	7	25	25	113	0	23	4.5	0
빙그레 바나나맛 우유	가공유	240	mL	208	0	0	0	27	110	30	0	5	0
초코에몽	가공유	250	g	235	7	8	34	32	105	0	25	5	0.3
남양 쿠키&크림에몽	가공유	250	g	185	6.5	4.5	29	26	120	0	15	3.2	0
덴마크 쇼콜라띠에 클래식	가공유	250	g	240	7	8	35	24	95	0	15	4.8	0
화이트 초코에몽	가공유	250	g	245	7	9	34	28	110	0	26	5.7	0.3
제주 녹차 라떼	가공유	250	g	146	3.5	4	24	22	75	0	15	1.8	0
덴마크 쇼콜라띠에 베리퐁듀	가공유	250	g	220	5	10	28	25	170	0	15	7	0
밀크티에 딸기를 넣어봄	가공유	250	g	180	7	3.6	30	28	130	0	10	3.7	0
유어스 단호박우유	가공유	250	g	175	5.5	5.5	27	27	90	0	15	4.2	0
밀크티에 초코를 넣어봄	가공유	250	g	185	7.2	3.7	31	29	115	0	10	3.9	0
유어스 말차우유	가공유	250	g	180	5.7	5.3	27	27	100	0	15	4.1	0
신묘한 초코라떼	가공유	250	g	210	6	6	33	28	65	0	15	3.8	0
UYLIAN 오리지널	가공유	250	g	235	8	10	28	22	80	0	15	5	0
어른우유 검은콩미숫가루	가공유	250	g	220	7	7	33	22	75	0	20	3.6	0
기묘한 딸기코코넛	가공유	250	g	265	5	11	36	28	105	0	15	9	0
어른우유 믹스너츠	가공유	250	g	245	7	8	36	23	80	0	25	4.5	0
초코에몽	가공유	250	mL	235	110	20	3.7	0	0	0	25	5	0.3
남양 쿠키&크림에몽	가공유	250	g	185	6.5	4.5	29	26	120	0	15	3.2	0
내추럴플랜 연남방앗간 참깨라떼	가공유	250	mL	225	9	7	32	25	115	0	20	3.7	0
내추럴플랜 연남방앗간 딸기라떼	가공유	250	mL	190	8	6.9	27	24	130	0	20	3.2	0
밀크티에 딸기를 넣어봄	가공유	250	mL	180	7	3.6	30	28	130	0	10	3.7	0
밀크티에 초코를 넣어봄	가공유	250	mL	185	7.2	3.7	31	29	115	0	10	3.9	0
초코우유	가공유	250	mL	205	0	0	0	22	223	25	0	4.2	0.5
커피우유	가공유	250	mL	195	0	0	0	22	220	25	0	3.6	0.5
바나나우유	가공유	250	mL	220	0	0	0	26	105	25	0	5	0.5
딸기우유	가공유	250	mL	187	0	0	0	21	140	25	0	4	0.5
서울우유 바나나밀크	가공유	260	g	175	7	5	26	25	120	0	15	3	0
라이언 멜로우 피넛	가공유	270	g	237	8	5	40	28	205	0	5	5	0
밀큐어 초코타르트향우유	가공유	270	g	215	6	4.5	37	30	190	0	10	3.7	0
바바파파 바나나우유	가공유	270	g	245	8	7	38	31	115	0	15	3.1	0
바바파파 초코우유	가공유	270	g	235	6	7	37	33	130	0	10	2.6	0
바바파파 딸기우유	가공유	270	g	230	6	8	33	21	115	0	10	3.7	0
미키 초코우유 / 냉장	가공유	270	g	250	7	8	38	33	120	0	15	4.7	0
미니언즈 초코우유	가공유	270	g	280	11	4	50	37	190	0	24	2.8	0
미니 딸기우유 / 냉장	가공유	270	g	210	6	7	31	27	100	0	20	4.7	0
푸르밀 바나나킥우유	가공유	300	g	205	5.8	7.1	29	28	95	0	15	5.8	0
푸르밀 초코 바나나킥우유	가공유	300	g	240	6.6	6	40	37	100	0	15	5.2	0
Caffe bene(카페베네) 오곡라떼	가공유	300	g	180	5.9	5.4	26	24	140	0	15	4.1	0
내추럴플랜 검은콩	가공유	300	g	230	17	6	27	26	270	0	25	3.3	0
밀스드링크 딸기	가공유	300	g	265	18.5	8	34	19	370	0	30	5	0
앤업카페 초코라떼 텀블러	가공유	300	g	230	6.1	4.1	41	39	125	0	10	2.6	0
푸르밀 쉑쉑밀크	가공유	300	g	235	6.3	5.4	40	38	115	0	15	4.4	0
미숫가루우유	가공유	300	g	200	7	4.3	33	25	85	0	10	2.6	0
옐로우카페 바나나티라미수 / 냉장	가공유	300	g	218	6	6	35	32	170	0	30	4	0
사과 우유	가공유	300	g	215	5	5	37	34	95	0	20	3.4	0
알밤라떼	가공유	300	g	255	6	6	44	36	80	0	20	4	0
고구마라떼	가공유	300	g	215	6	6	34	28	55	0	20	3.8	0.3
말랑카우 라떼	가공유	300	g	235	7	6.5	37	33	150	0	15	3.5	0
내추럴플랜 검은콩	가공유	300	mL	230	17	6	27	26	270	0	25	3.3	0
미숫가루우유	가공유	300	mL	200	7	4.3	33	25	85	0	10	2.6	0
사과 우유	가공유	300	g	215	5	5	37	34	95	0	20	3.4	0
알밤라떼	가공유	300	mL	255	6	6	44	36	80	0	20	4	0
고구마라떼	가공유	300	g	215	6	6	34	28	55	0	20	3.8	0.3
수박우유	가공유	300	mL	250	6	2.6	29	11	85	0	10	1.7	0
달고나라떼	가공유	300	mL	220	5	4.7	39	39	90	0	12	1.8	0.5
흑당라떼	가공유	300	mL	200	6	3.8	36	34	140	0	10	1.9	0
벚꽃라떼	가공유	300	mL	165	6	4.3	26	24	70	0	20	2.6	0
말랑카우 라떼	가공유	300	g	235	7	6.5	37	33	150	0	15	3.5	0
오곡라떼	가공유	300	mL	180	5.9	5.4	26	24	140	0	15	4.1	0
푸르밀 바나나킥우유	가공유	300	g	205	5.8	7.1	29	28	95	0	15	5.8	0
푸르밀 초코 바나나킥우유	가공유	300	g	240	6.6	6	40	37	100	0	15	5.2	0
Caffe bene(카페베네) 오곡라떼	가공유	300	mL	180	5.9	5.4	26	24	140	0	15	4.1	0
푸르밀 쉑쉑밀크	가공유	300	g	235	6.3	5.4	40	38	115	0	15	4.4	0
굿밀크 바나나우유	가공유	500	g	325	15	15	35	35	200	0	50	8	0.2
카라멜 슈크림우유	가공유	500	g	325	10	5	60	58	300	0	30	5	0
굿밀크 초코우유	가공유	500	g	350	10	10	55	55	200	0	25	6	0
굿밀크 딸기우유	가공유	500	g	275	15	12	30	30	200	0	50	6	0.2
굿밀크 바나나우유	가공유	500	g	325	15	15	35	35	200	0	50	8	0.2
HEYROO 초코 우유	가공유	500	g	290	9.9	11.3	37	35	205	0	35	8.5	0
맛단지 바나나우유	가공유	1000000	g	190	6	7.3	25	22	90	0	20	5	0
빙그레 바나나맛 우유	가공유	1000000	g	208	7	8	27	27	110	0	30	5	0
후디스 포켓몬 초코	가공유	1000000	g	245	6	7.3	39	32	150	0	25	4.3	0
허니 초콜릿 우유	가공유	1000000	g	130	6	4	17	15	105	0	10	2.5	0
액상 코코넛오일	가공유지	100	g	830	0	92	0	0	0	0	0	87	0
야자경화유	가공유지	100	mL	900	0	100	0	0	0	0	0	99.31	0
팜핵경화유	가공유지	100	mL	900	0	100	0	0	0	0	0	99.6	0
마이	가공유지	100	mL	900	0	100	0	0	0	0	0	99.6	0
오피오유지	가공유지	100	mL	900	0	100	0	0	0	0	0	47.8	0.51
리퀴드코코넛오일(LIQUID COCONUT OIL)	가공유지	500	g	4203	0	0	0	0	0	0	0	467	0
신선한 크림으로 만든 휘핑크림	가공유크림	100	g	353	2	37	3	0	27	0	0	0	0
앙팡치즈 까요까요 플레인	가공치즈	14.4	g	35	0	0	0	0	0	0	0	0	0
앙팡치즈 까요까요 플레인	가공치즈	14.4	g	35	0	0	0	0	60	0	0	0	0
앙팡치즈 까요까요 딸기	가공치즈	14.5	g	40	0	0	1.6	1.5	60	0	0	0	0
벨라유 플레인 포션치즈	가공치즈	15	g	55	3	4.8	0	0	140	0	10	3.2	0.5
체다치즈 클래식	가공치즈	17	g	50	0	0	1	0.7	180	0	0	0	0
자연방목치즈 체다슬라이스	가공치즈	17	g	60	0	0	0.7	0.7	135	0	0	0	0
자연방목치즈 체다슬라이스	가공치즈	17	g	60	0	0	0.7	0.7	135	0	0	0	0
체다치즈 클래식	가공치즈	17	g	50	2	4	1	1	180	0	15	3	0.2
체다치즈 클래식	가공치즈	17	g	50	2	4	1	1	180	15	0	3	0.2
칼슘쏙쏙 블랙 슬라이스 치즈	가공치즈	18	g	60	3	4.8	1	0	160	0	13	3.2	0.2
하얀 체다가 송송	가공치즈	18	g	60	3.3	5	0.5	0	144	0	14	3	0.25
지방을 줄인 고칼슘 치즈	가공치즈	18	g	45	0	0	0	0	0	0	0	0	0
뽀로로가 좋아하는 칼슘 치즈	가공치즈	18	g	60	0	0	0	0	0	0	0	0	0
웰메이드 고칼슘 체다	가공치즈	18	g	50	3	4	1	1	140	0	12	3	0.2
서울우유 목장나들이 스트링치즈	가공치즈	18	g	60	4	5	0.1	0	60	0	12	3	0.2
서울체다 슬라이스 치즈 1800 멀티	가공치즈	18	g	60	0	0	1	0.3	185	0	0	0	0
서울 체다 슬라이스치즈 1800 멀티Ⅱ	가공치즈	18	g	60	0	0	0.7	0.4	180	0	0	0	0
고칼슘치즈	가공치즈	18	g	60	0	0	0.7	0	195	0	0	0	0
짜지않은 치즈	가공치즈	18	g	60	0	0	0	0	100	0	0	0	0
리얼 체다 슬라이스	가공치즈	18	g	55	0	0	0.7	0	190	0	0	0	0
드빈치 유기농 시작부터 아기치즈 1단계	가공치즈	18	g	55	0	0	0	0	55	0	0	0	0
모짜렐라치즈	가공치즈	18	g	45	0	0	0	0	150	0	0	0	0
서울 무색소 체다 슬라이스치즈 1800 멀티	가공치즈	18	g	60	0	0	0.7	0	210	0	0	0	0
드빈치 유기농 튼튼탄탄 아기치즈 2단계	가공치즈	18	g	55	0	0	0	0	55	0	0	0	0
서울우유 테이스티 치즈	가공치즈	18	g	55	0	0	1	0.5	160	0	0	0	0
소와나무 잘숙성된 슬라이스치즈	가공치즈	18	g	55	0	0	1	0.7	180	0	0	0	0
짜지않은 치즈 고칼슘&비타민	가공치즈	18	g	60	0	0	0	0	100	0	0	0	0
앙팡 유기농 아기치즈 스텝1 180	가공치즈	18	g	60	0	0	0.3	0	54	0	0	0	0
서울체다슬라이스치즈 900	가공치즈	18	g	60	0	0	0.3	0.1	180	0	0	0	0
베이커리 슬라이스치즈	가공치즈	18	g	55	0	0	1.7	0	200	0	0	0	0
맛있는 슬라이스 치즈	가공치즈	18	g	60	0	0	0.72	0.36	162	0	0	0	0
뼈에 쏙쏙 칼슘치즈	가공치즈	18	g	55	0	0	0	0	170	0	0	0	0
앙팡 유기농 아기치즈 스텝2 180	가공치즈	18	g	60	0	0	0.3	0	54	0	0	0	0
뽀로로가 좋아하는 칼슘왕 치즈	가공치즈	18	g	60	0	0	0.7	0	150	0	0	0	0
드빈치 웰메이드 체다	가공치즈	18	g	55	0	0	1.5	1	140	0	0	0	0
어린이치즈 앙팡 180	가공치즈	18	g	60	0	0	0.3	0	89	0	0	0	0
드빈치 유기농 쑥쑥클때 어린이 치즈 3단계	가공치즈	18	g	55	0	0	0	0	70	0	0	0	0
지방을 줄인 고칼슘 치즈	가공치즈	18	g	45	0	0	1.5	0.3	170	0	0	0	0
치즈큐빅 플레인	가공치즈	18	g	22	0	0	0.1	0	46	0	0	0	0
체다슬라이스	가공치즈	18	g	60	0	0	0.7	0	140	0	0	0	0
서울우유 테이스티 치즈 270	가공치즈	18	g	55	0	0	1	0.5	160	0	0	0	0
파티쉐 슬라이스치즈	가공치즈	18	g	55	0	0	1.5	0	200	0	0	0	0
웰메이드 고칼슘 체다	가공치즈	18	g	50	0	0	0.7	0.7	140	0	0	0	0
어린이치즈 앙팡 270	가공치즈	18	g	60	0	0	0.3	0	89	0	0	0	0
하얀 체다가 송송	가공치즈	18	g	60	0	0	0.5	0	144	0	0	0	0
앙팡 유기농 어린이치즈 스텝3 180	가공치즈	18	g	60	0	0	0.3	0	70	0	0	0	0
스윗 크림치즈	가공치즈	18	g	55	0	0	1	0.7	180	0	0	0	0
슬라이스치즈	가공치즈	18	g	50	4	3.2	1	0	150	0	0	1.9	0.07
웰메이드 고칼슘 체다	가공치즈	18	g	55	3	4.5	1	1	160	0	12	3	0.2
드빈치 유기농 시작부터 아기치즈 1단계	가공치즈	18	g	55	0	0	0	0	55	0	0	0	0
드빈치 유기농 튼튼탄탄 아기치즈 2단계	가공치즈	18	g	55	0	0	0	0	55	0	0	0	0
드빈치 웰메이드 체다	가공치즈	18	g	55	2.8	4.2	1.4	1	150	0	0	0	0
드빈치 유기농 쑥쑥클때 어린이 치즈 3단계	가공치즈	18	g	55	0	0	0	0	70	0	0	0	0
웰메이드 고칼슘 체다	가공치즈	18	g	55	3	4.5	1	1	160	0	0	0	0
소와나무 슬라이스치즈	가공치즈	18	g	60	2.5	5	1	1	220	0	15	4	0.2
고칼슘치즈	가공치즈	18	g	60	2.7	5	1	0.5	195	0	15	3.3	0.2
짜지않은 치즈	가공치즈	18	g	65	2.8	6	0.5	0.5	100	0	15	4	0.5
리얼 체다 슬라이스	가공치즈	18	g	60	3	5	1	0.5	190	0	15	4	0.5
모짜렐라치즈	가공치즈	18	g	50	3	3.7	1	0.2	155	0	15	2.5	0.2
소와나무 잘숙성된 슬라이스치즈	가공치즈	18	g	60	2.5	5	1	1	180	0	15	4	0.2
짜지않은 치즈 고칼슘&비타민	가공치즈	18	g	60	3	5	0.5	0.5	100	0	20	4	0.5
베이커리 슬라이스치즈	가공치즈	18	g	50	2.3	4.3	1	0.5	185	0	10	3.4	0.2
파티쉐 슬라이스치즈	가공치즈	18	g	55	2.5	4.5	1	0.5	180	0	10	3.5	0.2
상하치즈 뼈로 가는 칼슘치즈	가공치즈	18	g	60	3	5	0.5	0.5	100	15	0	3.9	0.2
짜지 않은 치즈	가공치즈	18	g	60	3	5	0.5	0.5	100	15	0	3.9	0.2
고칼슘치즈	가공치즈	18	g	60	2.7	5	1	0.5	195	15	0	3.3	0.2
서울우유 테이스티 치즈	가공치즈	18	g	55	3	4.3	1	0.5	160	12	0	2.8	0.2
자연방목치즈 체다슬라이스	가공치즈	18	g	60	3.5	5	1	1	120	13	0	3.5	0.2
상하치즈 유기농 아기치즈	가공치즈	18	g	60	3	5	1	0	52	10	0	3.5	0.3
상하치즈 유기농 어린이치즈	가공치즈	18	g	60	3	5	1	0	65	10	0	3.5	0.3
상하치즈 고다 슬라이스	가공치즈	18	g	55	3	5	0	0	190	13	0	3	0.3
상하치즈 까망베르 슬라이스	가공치즈	18	g	55	3	4.4	0.6	0.2	170	10	0	3	0.2
지방을 줄인 고칼슘 치즈	가공치즈	18	g	45	3	3	1.5	0.3	170	10	0	2	0.15
모짜렐라치즈	가공치즈	18	g	50	3	4.1	0.5	0.5	170	15	0	3.1	0.2
웰메이드 고칼슘 체다	가공치즈	18	g	55	3	1	1	1	160	12	0	3	0.2
드빈치 웰메이드 체다	가공치즈	18	g	55	3	4	1.3	1	150	10	0	3	0.2
모자렐라 골든치즈 냉동	가공치즈	20	g	54	5	3	2	0	90	0	11	2	0
서울우유 체다슬라이스 치즈	가공치즈	20	g	65	3.8	5.5	0.6	0	195	0	13	3	0.3
로젠하임치즈1	가공치즈	20	g	12.4	0.8	1	0.08	0	32	0	0	0	0
로젠하임치즈2	가공치즈	20	g	12.4	0.8	1	0.08	0	32	0	0	0	0
밤비노 치즈	가공치즈	20	g	13	0.8	1.04	0.12	0	39.6	0	0	0	0
베이비 치즈토니	가공치즈	20	g	13.2	0.76	1.08	0.04	0	40	0	0	0	0
아인슈타인 어린이치즈	가공치즈	20	g	11.6	0.76	0.92	0.08	0	32	0	0	0	0
고다 슬라이스치즈	가공치즈	20	g	13	0.8	1	0.2	0.01	34	0	3	0.6	0.03
남양 치즈명장 드빈치 웰빙 피자치즈 mini	가공치즈	20	g	12	1	0.9	0.2	0	18	0	3	0.62	0.06
덴마크 유기농 97.6 아기치즈	가공치즈	20	g	14.15	0.73	1.19	0.13	0	21.92	0	1.81	0.75	0.06
덴마크 유기농 97.6 유아치즈	가공치즈	20	g	14.26	0.75	1.19	0.14	0	21.77	0	1.78	0.75	0.06
드빈치 유기농 시작부터 아기치즈 1단계	가공치즈	20	g	12.2	0.67	1.11	0	0.01	13.33	0	3.56	0.78	0.07
드빈치 유기농 쑥쑥클때 어린이치즈 3단계	가공치즈	20	g	12.2	0.67	1.11	0	0.01	17.78	0	3.56	0.78	0.07
드빈치 유기농 튼튼탄탄 아기치즈 2단계	가공치즈	20	g	12.2	0.67	1.11	0	0.01	13.33	0	3.56	0.78	0.07
드빈치 크림치즈 차이브앤 어니언	가공치즈	20	g	10	0.4	0.88	0.2	0.01	20	0	4	0.6	0.1
드빈치 크림치즈 플레인	가공치즈	20	g	10	0.4	0.88	0.2	0.1	20	0	4	0.6	0.1
드빈치 피자치즈	가공치즈	20	g	12	0.64	0.96	0.16	0	48	0	1.6	0.56	0.05
뽀로로가 좋아하는 칼슘왕치즈	가공치즈	20	g	13.2	0.68	1.12	0.16	0	33.4	0	3.08	0.72	0.06
뽀로로가 좋아하는 플레인치즈	가공치즈	20	g	13.2	0.68	1.08	0.18	0.14	35.4	0	3.08	0.68	0.02
뿌려먹고 녹여먹는 피자치즈	가공치즈	20	g	12.75	0.92	0.96	0.1	0	16.58	0	1.31	0.66	0.03
소와나무 뼈가 좋아하는 고칼슘치즈	가공치즈	20	g	12.55	0.61	1.08	0.1	0	44.14	0	2.62	0.68	0
슬라이스 치즈	가공치즈	20	g	12.43	0.75	0.95	0.23	0.03	43.04	0	1.3	0.61	0.04
앙팡 유기농 아기치즈 스텝1	가공치즈	20	g	12.8	0.76	1.04	0.18	0	18	0	2.28	0.72	0.07
